As_class,ts_soc,ts_silt,ts_ph,ts_clay,ts_cec,ss_soc,ss_silt,ss_ph,ss_clay,ss_cec,fluvisols,et0_yr,ai_et0,elevation,slope,precip,temp,distance_to_river,latitude,longitude
0,223,320,54,274,171,68,293,55,374,145,15,1474,13906,102,0.328490198,2050,23.96666654,3266.92136,26.57645432,94.0076968
1,223,356,56,267,177,60,326,59,368,142,15,1484,12414,110,0.328490198,1843,24.04999987,1044.928242,26.36397404,93.99820731
0,260,328,57,267,153,49,310,58,345,133,15,1490,14531,80,0.328490198,2166,24.18333308,980.1802597,26.66840712,93.70893693
0,265,337,56,276,150,61,341,58,329,134,15,1496,14591,81,0.328490198,2184,24.1916666,1369.253132,26.68473587,93.67611076
1,284,322,56,297,188,55,293,57,366,159,15,1478,13538,104,0.328490198,2002,24.01666641,2415.326902,26.54809266,94.00196729
1,212,317,54,266,161,61,297,54,348,140,16,1467,14483,97,0.328490198,2126,23.9416666,574.1166399,26.63143119,94.01402663
0,238,311,54,279,166,55,299,55,351,145,16,1472,14229,100,0.328490198,2096,23.9749999,1258.02225,26.61520429,93.99731962
1,270,298,53,280,186,55,283,55,347,163,16,1454,16131,94,0.328490198,2347,23.95000029,698.5903524,26.76296134,94.17531113
0,274,322,55,278,196,74,300,58,379,171,16,1484,13448,93,0.328490198,1997,24.10833327,451.1745,26.5474918,93.88820616
1,256,340,56,262,165,54,318,58,366,140,17,1482,13623,95,0.328490198,2020,24.09166654,579.5165,26.56554351,93.88531555
0,224,336,55,260,155,63,315,57,351,133,18,1476,14241,92,0.328490198,2103,23.99999984,1596.657146,26.62103805,93.95842157
0,232,340,54,258,186,66,293,55,355,155,18,1477,14065,93,0.328490198,2078,24.01666641,1888.104737,26.60395892,93.92678793
0,251,317,54,283,187,81,300,55,370,165,18,1484,13448,95,0.328490198,1997,24.10833327,619.0730697,26.54771683,93.88575984
0,256,366,56,252,145,45,332,59,339,132,18,1492,14724,79,0.328490198,2198,24.2249999,1909.501041,26.69587819,93.74917884
0,259,324,53,271,179,64,298,54,360,152,19,1478,13639,99,0.328490198,2017,24.00833305,4565.957871,26.56430161,93.94697745
1,241,308,55,290,174,53,287,57,364,156,20,1468,14301,95,0.328490198,2100,23.94999981,1859.32136,26.61269977,94.02423121
0,220,345,55,264,183,51,305,56,348,147,21,1478,14130,94,0.328490198,2089,24.02499978,2070.798892,26.60926305,93.91750207
0,229,327,55,269,179,66,293,56,360,154,21,1474,14096,101,0.328490198,2078,23.99999984,1581.435727,26.60328026,93.93412918
